Size,Density,Number,IterativeGreedy_Value,IterativeGreedy_Time
3000,0.9,8,6,9527974479
3000,0.9,9,5,9675701651
3000,0.9,10,5,9981876713
3000,0.9,11,5,9965171247
3000,0.9,12,5,9918293305
3000,0.9,13,5,9833885951
3000,0.9,14,5,9176283231
3000,0.9,15,5,9923250784
3000,0.9,16,5,9945740922
3000,0.9,17,5,9877639884
3000,0.9,18,4,9745002016
3000,0.9,19,5,9983862804
3000,0.9,20,6,9634496216
3000,0.9,21,5,9856011519
3000,0.9,22,5,9378541597
3000,0.9,23,5,9380011534
3000,0.9,24,5,9660709195
3000,0.9,25,5,9862517426
3000,0.9,26,5,9331857085
3000,0.9,27,5,9621293524
3000,0.9,28,5,9926720310
3000,0.9,29,5,9136149318
3000,0.9,30,5,9561886852
